,hidden_state,state,q,parent,prev_action,avail_children,step,done
4411,[-0.62854207  1.53014385 -2.09190525  3.18696265],[ 0.8088856  -0.5879661   0.04064129  0.9991738  -2.0919054   3.1869626 ],[0.22630653 0.30674744 0.46694604],3966,0,2,80,False
4412,[-0.94902636  1.97014341 -1.0857214   1.2509127 ],[ 0.58247477 -0.81284875 -0.3888169   0.9213151  -1.0857214   1.2509127 ],[0.29279047 0.3310052  0.37620434],4411,0,2,81,False
4413,[-1.06104529  2.06247231 -0.02056781 -0.3176934 ],[ 0.48795995 -0.87286603 -0.47210398  0.88154286 -0.0205678  -0.3176934 ],[0.33911523 0.34502363 0.31586114],4412,1,2,82,False
4414,[-0.9480354   1.81961971  1.1472171  -2.13209955],[ 0.58328    -0.8122712  -0.24626374  0.9692029   1.1472172  -2.1320996 ],[0.40701684 0.34543598 0.24754716],4413,0,2,83,False
4415,[-0.61478009  1.218492    2.16595557 -3.91433979],[ 0.8169003 -0.5767789  0.3450615  0.9385801  2.1659555 -3.9143398],[0.46454147 0.32632    0.20913857],4414,1,0,84,False
4416,[-0.60409355  0.07947769 -3.51618776  6.36869385],[ 0.8230173  -0.5680163   0.99684334  0.07939404 -3.5161877   6.368694  ],[0.13503687 0.25906304 0.6059001 ],4341,0,0,96,False
4417,[-1.20119049  1.21957036 -2.32861976  4.79594653],[ 0.3612479 -0.9324698  0.3440492  0.9389516 -2.3286197  4.7959466],[0.18628745 0.2926875  0.521025  ],4416,2,2,97,False
4418,[-1.50803538  1.96001946 -0.75692479  2.70775705],[ 0.06271975 -0.9980312  -0.37946975  0.92520416 -0.7569248   2.707757  ],[0.25645214 0.33995652 0.40359133],4417,0,2,98,False
4419,[-1.5234438   2.36531266  0.59488304  1.34469429],[ 0.04733483 -0.9988791  -0.7135248   0.70062995  0.594883    1.3446943 ],[0.30554333 0.36954105 0.32491556],4418,2,2,99,False
4420,[-1.26982979  2.46981648  1.91401559 -0.32593915],[ 0.29644343 -0.9550504  -0.78271747  0.6223772   1.9140155  -0.32593915],[0.36447957 0.35173815 0.28378227],4419,1,3,100,False
4421,[ 1.05251208 -1.75790857  2.46068045 -3.42583032],[ 0.49539044  0.8686704  -0.18602233 -0.9825455   2.4606805  -3.4258304 ],[0.47893134 0.283961   0.23710765],4366,1,2,89,False
4422,[ 1.43398082 -2.27815195  1.33324543 -1.8419719 ],[ 0.13638908  0.99065536 -0.6498261  -0.7600829   1.3332454  -1.8419719 ],[0.4336457  0.29689565 0.26945865],4421,0,2,90,False
4423,[ 1.58106295 -2.5118078   0.13331879 -0.5147325 ],[-0.01026645  0.9999473  -0.8081542  -0.5889709   0.1333188  -0.5147325 ],[0.40597087 0.3125793  0.2814498 ],4422,0,2,91,False
4424,[ 1.48110165 -2.46464576 -1.12857965  1.00026901],[ 0.08957446  0.99598014 -0.77948886 -0.6264161  -1.1285796   1.000269  ],[0.3710381 0.3144554 0.3145064],4423,1,2,92,False
4425,[ 1.13426961 -2.09893381 -2.31595665  2.71040824],[ 0.42279446  0.9062256  -0.5039255  -0.8637471  -2.3159566   2.7104082 ],[0.2854283  0.32811388 0.38645783],4424,1,3,93,False
4426,[-0.79404994  1.0501071   2.06564487 -2.5956267 ],[ 0.70096266 -0.71319795  0.49747816  0.8674765   2.065645   -2.5956266 ],[0.4318152  0.32988024 0.23830459],778,2,2,58,False
4427,[-0.302834    0.40012351  2.75854747 -3.77860877],[ 0.95449513 -0.29822645  0.9210129   0.3895321   2.7585475  -3.7786088 ],[0.47247407 0.30254436 0.22498158],4426,2,2,59,False
4428,[ 0.26702339 -0.38996485  2.78182871 -3.80309279],[ 0.96456057  0.26386148  0.9249224  -0.38015592  2.7818286  -3.8030927 ],[0.47739553 0.29228505 0.23031947],4427,1,2,60,False
4429,[ 0.76628848 -1.04635563  2.12052795 -2.63067419],[ 0.72048944  0.6934659   0.50072896 -0.86560416  2.120528   -2.6306741 ],[0.4563431  0.29296985 0.25068697],4428,0,2,61,False
4430,[ 1.07340546 -1.37681704  0.92496258 -0.70599114],[ 0.4771342   0.87883043  0.19276506 -0.9812449   0.9249626  -0.70599115],[0.404624   0.28847706 0.30689895],4429,2,0,62,False
4431,[ 0.45021066  0.76641851  4.17162538 -4.97797149],[ 0.90035546  0.4351552   0.72039926  0.6935596   4.1716256  -4.9779716 ],[0.5264526  0.26364875 0.20989862],4075,1,0,117,False
4432,[ 1.20685079 -0.22898541  3.23749116 -4.55122376],[ 0.3559641   0.9344996   0.9738972  -0.22698954  3.2374911  -4.5512238 ],[0.5037051  0.2704163  0.22587857],4431,2,0,118,False
4433,[ 1.73310293 -1.02442374  2.00122129 -3.37172517],[-0.16159493  0.9868572   0.51959133 -0.85441494  2.0012212  -3.371725  ],[0.45821065 0.2843227  0.25746664],4432,0,2,119,False
4434,[ 2.00976996 -1.60086433  0.77149914 -2.44950777],[-0.42501062  0.9051884  -0.03006347 -0.999548    0.77149916 -2.4495077 ],[0.4056474  0.30585492 0.28849763],4433,0,2,120,False
4435,[ 2.02499166 -1.96622737 -0.62022028 -1.19516199],[-0.43873936  0.89861435 -0.385206   -0.9228306  -0.6202203  -1.1951619 ],[0.371516   0.31371486 0.31476912],4434,2,3,121,False
4436,[-1.06598791  1.89028718 -1.79809621  1.6567686 ],[ 0.48363978 -0.87526715 -0.31408322  0.9493955  -1.7980962   1.6567686 ],[0.26888803 0.32008561 0.4110263 ],811,1,2,82,False
4437,[-1.31751966  2.07421533 -0.69316252  0.21550798],[ 0.25057742 -0.96809655 -0.4824232   0.8759383  -0.6931625   0.21550798],[0.31112382 0.34838232 0.34049386],4436,2,2,83,False
4438,[-1.33820996  1.98483819  0.48959005 -1.10479267],[ 0.23049502 -0.9730735  -0.40231293  0.9155022   0.48959005 -1.1047927 ],[0.36365485 0.35338318 0.282962  ],4437,2,2,84,False
4439,[-1.11518656  1.60292178  1.73309867 -2.75734078],[ 0.44000995 -0.8979929  -0.03211992  0.999484    1.7330986  -2.7573407 ],[0.42038938 0.3437     0.23591065],4438,1,2,85,False
4440,[-0.63999565  0.82971222  2.9982254  -5.02075032],[ 0.80209833 -0.59719193  0.6750881   0.7377371   2.9982255  -5.0207505 ],[0.49730918 0.29960293 0.20308797],4439,0,3,86,False
4441,[-0.08594066  0.22841846  3.01490716 -5.7935328 ],[ 0.9963094  -0.08583491  0.9740257   0.22643735  3.0149071  -5.793533  ],[0.53987736 0.27325648 0.18686616],4415,0,0,85,False
4442,[ 0.49127432 -0.88006386  2.56497349 -4.88866915],[ 0.8817324   0.47174987  0.63710195 -0.77077955  2.5649736  -4.888669  ],[0.5129817  0.28284055 0.20417774],4441,1,2,86,False
4443,[ 0.89287858 -1.64026181  1.43177548 -2.74469039],[ 0.6271726   0.77888036 -0.06940963 -0.9975882   1.4317755  -2.7446904 ],[0.45107892 0.30103633 0.24788469],4442,2,2,87,False
4444,[ 1.07640144 -2.04437312  0.39257216 -1.31957682],[ 0.47449908  0.880256   -0.45607233 -0.8899427   0.39257216 -1.3195769 ],[0.4226344  0.30250847 0.27485716],4443,0,2,88,False
4445,[ 1.03516317 -2.12945486 -0.79258262  0.46663629],[ 0.51038563  0.85994565 -0.53004915 -0.8479669  -0.79258263  0.4666363 ],[0.38508597 0.30800912 0.30690488],4444,2,3,89,False
4446,[ 1.23278669 -0.29595842  3.49222993 -5.20113075],[ 0.33161     0.94341654  0.95652306 -0.29165673  3.49223    -5.201131  ],[0.5162739  0.26936197 0.21436408],4431,0,0,118,False
4447,[ 1.78075182 -1.14208466  1.98498966 -3.28249218],[-0.20841637  0.9780402   0.4156994  -0.9095021   1.9849896  -3.2824922 ],[0.45430925 0.2841547  0.26153606],4446,2,2,119,False
4448,[ 2.05594147 -1.70305488  0.77560175 -2.38819641],[-0.46633676  0.88460726 -0.13187331 -0.9912666   0.77560174 -2.3881965 ],[0.4045332 0.3059643 0.2895025],4447,0,2,120,False
4449,[ 2.0756999  -2.06088169 -0.57764633 -1.18181867],[-0.48372304  0.87522113 -0.4707012  -0.8822927  -0.5776463  -1.1818187 ],[0.37096098 0.31535637 0.31368268],4448,2,2,121,False
4450,[ 1.83520861 -2.19900331 -1.8423457  -0.11577664],[-0.26134202  0.96524626 -0.587695   -0.80908257 -1.8423457  -0.11577664],[0.36157015 0.3029647  0.33546522],4449,0,3,122,False
4451,[ 0.47928411 -0.84876764  2.45557734 -4.59933145],[ 0.8873253   0.46114406  0.6609085  -0.75046647  2.4555774  -4.5993314 ],[0.5032781  0.28737846 0.20934343],4441,2,2,86,False
4452,[ 0.86303217 -1.55943403  1.35884841 -2.52616643],[ 0.6501366   0.75981736  0.01136206 -0.99993545  1.3588485  -2.5261664 ],[0.4448478  0.3038057  0.25134644],4451,2,2,87,False
4453,[ 1.02698837 -1.89986539  0.27329225 -0.90230115],[ 0.51739836  0.85574466 -0.32316217 -0.9463436   0.27329224 -0.90230113],[0.41691703 0.30127913 0.28180385],4452,1,2,88,False
4454,[ 0.97256196 -1.92443072 -0.80698785  0.65922957],[ 0.5631844   0.82633126 -0.34630957 -0.9381203  -0.8069878   0.6592296 ],[0.3749246  0.30624744 0.31882802],4453,1,2,89,False
4455,[ 0.71259605 -1.63071715 -1.76243541  2.29808602],[ 0.75666714  0.6538003  -0.05988498 -0.9982053  -1.7624354   2.298086  ],[0.28628573 0.3102562  0.40345815],4454,1,3,90,False
4456,[ 0.6867069  -0.814473   -1.24563278  2.07841579],[ 0.773338    0.6339939   0.6862518  -0.72736406 -1.2456328   2.0784159 ],[0.28180605 0.29719436 0.42099965],3901,0,0,51,False
4457,[ 0.36796563 -0.30754178 -1.87590314  2.88861213],[ 0.93306106  0.359718    0.9530806  -0.30271667 -1.8759031   2.888612  ],[0.22597188 0.3006252  0.47340292],4456,0,2,52,False
4458,[-0.0388231   0.30664856 -2.08205295  3.0452836 ],[ 0.9992465  -0.03881335  0.9533506   0.30186525 -2.082053    3.0452836 ],[0.21637724 0.3073564  0.4762663 ],4457,1,2,53,False
4459,[-0.43357537  0.86191369 -1.77832557  2.36506685],[ 0.90746945 -0.42011803  0.650986    0.7590897  -1.7783256   2.3650668 ],[0.24411678 0.31199795 0.4438853 ],4458,2,2,54,False
4460,[-0.70282012  1.16468768 -0.87792019  0.65206142],[ 0.76302236 -0.6463721   0.39503747  0.918665   -0.8779202   0.6520614 ],[0.32011184 0.31940925 0.3604789 ],4459,0,3,55,False
4461,[-0.61675456  0.11246893 -3.63961074  6.68861462],[ 0.8157599  -0.5783907   0.993682    0.11223197 -3.6396108   6.688615  ],[0.13435856 0.2520684  0.6135731 ],4341,1,0,96,False
4462,[-1.21051211  1.24390881 -2.1970018   4.44722627],[ 0.35254022 -0.9357967   0.32109693  0.94704634 -2.1970017   4.447226  ],[0.19232161 0.2992979  0.50838053],4461,0,2,97,False
4463,[-1.51126666  1.96955847 -0.80876229  2.87223518],[ 0.05949451 -0.9982286  -0.3882779   0.92154235 -0.8087623   2.8722353 ],[0.25433353 0.33763328 0.40803322],4462,2,2,98,False
4464,[-1.5224781   2.36399795  0.67876455  1.08240216],[ 0.04829943 -0.9988329  -0.7126031   0.7015674   0.6787645   1.0824021 ],[0.31072554 0.36915478 0.32011974],4463,0,2,99,False
4465,[-1.24804139  2.39566238  2.03596628 -0.79763461],[ 0.31718045 -0.9483652  -0.7344569   0.6786553   2.0359664  -0.7976346 ],[0.38070762 0.34543437 0.27385798],4464,0,3,100,False
4466,[ 0.69541228 -0.83871019 -1.37533316  2.41282202],[ 0.7677896   0.64070207  0.6684227  -0.7437816  -1.3753332   2.412822  ],[0.26673597 0.29907164 0.4341924 ],4136,2,2,51,False
4467,[ 0.34926252 -0.26102314 -2.01172572  3.24219721],[ 0.9396253   0.34220493  0.96612644 -0.25806916 -2.0117257   3.2421973 ],[0.21142815 0.3006531  0.48791876],4466,0,2,52,False
4468,[-0.09233398  0.44466544 -2.2783436   3.56634193],[ 0.99574023 -0.09220284  0.9027546   0.43015587 -2.2783437   3.5663419 ],[0.19343352 0.31239897 0.4941675 ],4467,2,2,53,False
4469,[-0.50260069  1.04428724 -1.74849447  2.31896182],[ 0.87633276 -0.48170623  0.5025183   0.86456656 -1.7484945   2.3189619 ],[0.24699825 0.31400642 0.43899533],4468,1,2,54,False
4470,[-0.7611702   1.32952427 -0.80530472  0.53641326],[ 0.72402936 -0.68976915  0.23893803  0.9710348  -0.8053047   0.53641325],[0.32141006 0.32408538 0.35450453],4469,0,3,55,False
4471,[ 0.50318896 -0.91120048  2.67283923 -5.17491652],[ 0.8760492   0.48222166  0.6127975  -0.79024     2.6728392  -5.1749167 ],[0.5197792  0.2795625  0.20065837],4441,0,0,86,False
4472,[ 0.94038761 -1.77090319  1.66580294 -3.43264263],[ 0.589475    0.80778664 -0.19877407 -0.9800453   1.665803   -3.4326427 ],[0.46930718 0.29309344 0.23759936],4471,0,2,87,False
4473,[ 1.14906003 -2.26067586  0.42102108 -1.51516097],[ 0.40934524  0.91237956 -0.6364443  -0.77132267  0.42102107 -1.5151609 ],[0.42230585 0.30568594 0.2720082 ],4472,2,2,88,False
4474,[ 1.11043558 -2.38590794 -0.79506912  0.25832406],[ 0.44427133  0.89589226 -0.72780216 -0.68578714 -0.7950691   0.25832406],[0.39101422 0.30874008 0.30024564],4473,2,2,89,False
4475,[ 0.8403923  -2.15412772 -1.86863714  2.07863566],[ 0.66717064  0.74490494 -0.5508075  -0.83463234 -1.8686371   2.0786357 ],[0.30877686 0.32597107 0.36525205],4474,2,3,90,False
4476,[ 0.75906962 -0.86544862 -2.65943273  4.21648691],[ 0.7254767   0.6882468   0.6482986  -0.76138616 -2.6594326   4.216487  ],[0.19826685 0.29672176 0.5050113 ],4167,2,2,79,False
4477,[ 0.12724398  0.16030937 -3.48945657  5.68409782],[ 0.9919154   0.12690088  0.98717797  0.15962362 -3.4894567   5.684098  ],[0.1445955  0.27269787 0.5827066 ],4476,2,0,80,False
4478,[-0.52264771  1.14314799 -2.87492628  3.88251086],[ 0.86650056 -0.49917614  0.41473207  0.9099436  -2.8749263   3.882511  ],[0.19442795 0.28919277 0.5163793 ],4477,0,2,81,False
4479,[-1.01638546  1.74718966 -2.01287272  2.17462712],[ 0.5264425  -0.8502107  -0.17548002  0.984483   -2.0128727   2.174627  ],[0.2520521  0.30980477 0.43814313],4478,2,2,82,False
4480,[-1.29651259  1.98499344 -0.7640587   0.25031384],[ 0.2708575  -0.9626194  -0.40245506  0.9154397  -0.7640587   0.25031385],[0.31000644 0.34683597 0.34315762],4479,0,3,83,False
4481,[-0.08363193  0.10574814  3.28763712 -5.81640401],[ 0.9965049  -0.08353448  0.99441385  0.10555116  3.2876372  -5.816404  ],[0.53786737 0.27283123 0.18930142],2230,1,0,86,False
4482,[ 0.54044435 -0.97879304  2.77496164 -4.65522024],[ 0.85748017  0.51451707  0.5580245  -0.82982445  2.7749617  -4.65522   ],[0.50679797 0.28402883 0.20917322],4481,1,2,87,False
4483,[ 0.99422498 -1.71195887  1.73306795 -2.70646943],[ 0.5451528   0.8383367  -0.14069419 -0.9900531   1.733068   -2.7064695 ],[0.45648462 0.2943688  0.2491466 ],4482,1,2,88,False
4484,[ 1.22587441 -2.082311    0.57017613 -1.03507817],[ 0.3381232   0.94110185 -0.48949862 -0.8720041   0.5701761  -1.0350782 ],[0.4210086  0.3012143  0.27777705],4483,1,2,89,False
4485,[ 1.21283482 -2.1117036  -0.69716464  0.74160842],[ 0.35036567  0.93661296 -0.514914   -0.85724187 -0.69716465  0.74160844],[0.3820371  0.30839154 0.3095714 ],4484,2,3,90,False
4486,[-1.27207229  2.29021241 -1.61564783  2.42944989],[ 0.294301   -0.9557128  -0.65894556  0.75219065 -1.6156478   2.4294498 ],[0.26722223 0.3191516  0.4136262 ],1497,2,2,82,False
4487,[-1.4729194   2.61352354 -0.3839972   0.83171881],[ 0.09772073 -0.99521387 -0.8637816   0.50386643 -0.3839972   0.8317188 ],[0.31520897 0.35564357 0.3291475 ],4486,1,2,83,False
4488,[-1.42495352  2.62652739  0.86016606 -0.70582802],[ 0.14532635 -0.98938376 -0.8702606   0.49259165  0.8601661  -0.705828  ],[0.35277432 0.36446443 0.28276125],4487,1,2,84,False
4489,[-1.12700873  2.30403011  2.09611738 -2.55686694],[ 0.42936325 -0.9031319  -0.6692759   0.743014    2.0961175  -2.556867  ],[0.41407353 0.34411287 0.24181366],4488,0,2,85,False
4490,[-0.60069291  1.57774933  3.1343879  -4.79792615],[ 0.8249442  -0.5652142  -0.00695295  0.9999758   3.134388   -4.797926  ],[0.48464176 0.3044135  0.21094474],4489,0,3,86,False
4491,[ 0.63251467 -0.66974206 -1.57802527  2.96822856],[ 0.80654347  0.59117484  0.7839818  -0.6207838  -1.5780252   2.9682286 ],[0.23846745 0.29919535 0.46233723],3921,2,2,51,False
4492,[ 0.22958977  0.06426094 -2.34635416  4.17214129],[ 0.97375983  0.22757807  0.99793595  0.06421673 -2.3463542   4.172141  ],[0.17692171 0.30198035 0.52109796],4491,2,2,52,False
4493,[-0.2230504   0.81535287 -2.06941696  3.12665677],[ 0.97522724 -0.22120547  0.68561155  0.72796756 -2.069417    3.1266568 ],[0.21604346 0.3111661  0.47279042],4492,0,2,53,False
4494,[-0.59029224  1.32841791 -1.54615654  1.9471646 ],[ 0.83077806 -0.55660385  0.2400122   0.9707699  -1.5461565   1.9471647 ],[0.26461762 0.31639907 0.41898325],4493,2,2,54,False
4495,[-0.82423717  1.58748527 -0.76218539  0.64448947],[ 0.6791171  -0.73402995 -0.01668816  0.99986076 -0.7621854   0.64448947],[0.3146233  0.3275211  0.35785565],4494,2,3,55,False
4496,[ 1.21981485 -0.26247808  3.36518079 -4.87720447],[ 0.34381962  0.9390357   0.9657499  -0.25947455  3.3651807  -4.8772044 ],[0.50968343 0.2694869  0.22082968],4431,1,0,118,False
4497,[ 1.76856908 -1.11342948  2.10056591 -3.60669829],[-0.196486    0.98050666  0.44158712 -0.89721835  2.100566   -3.6066983 ],[0.46218914 0.28408083 0.25373006],4496,0,2,119,False
4498,[ 2.06410324 -1.73348745  0.86424795 -2.66003922],[-0.4735411   0.8807717  -0.16197439 -0.98679495  0.864248   -2.6600392 ],[0.41193435 0.30360812 0.28445747],4497,0,2,120,False
4499,[ 2.10703256 -2.16572647 -0.43653653 -1.65320694],[-0.51090413  0.8596377  -0.5604509  -0.82818764 -0.43653652 -1.653207  ],[0.37532002 0.31630623 0.30837378],4498,1,2,121,False
4500,[ 1.88681643 -2.37629299 -1.77344077 -0.37990904],[-0.31078622  0.95047987 -0.7211748  -0.69275314 -1.7734407  -0.37990904],[0.3663677  0.3006413  0.33299103],4499,1,3,122,False
4501,[ 0.52864537 -0.9481525   2.66689282 -4.37290965],[ 0.8634911  0.5043641  0.5831849 -0.8123395  2.6668928 -4.3729095],[0.49672475 0.28844756 0.21482773],4481,2,2,87,False
4502,[ 0.96407331 -1.63276577  1.65419968 -2.49158195],[ 0.5701784   0.82152086 -0.06192979 -0.9980805   1.6541997  -2.491582  ],[0.45138475 0.29634255 0.2522728 ],4501,1,2,88,False
4503,[ 1.18973217 -1.98518386  0.58557372 -1.06088904],[ 0.3719085   0.9282694  -0.40262938 -0.9153631   0.58557373 -1.060889  ],[0.4207176  0.29958108 0.27970135],4502,0,2,89,False
4504,[ 1.18778844 -2.04120554 -0.60234721  0.49978574],[ 0.3737121   0.9275448  -0.4532511  -0.8913829  -0.6023472   0.49978572],[0.38575408 0.306978   0.30726793],4503,1,2,90,False
4505,[ 0.94599528 -1.75601675 -1.79600212  2.38994698],[ 0.5849359   0.8110795  -0.18416318 -0.9828957  -1.7960021   2.389947  ],[0.2886487  0.3160508  0.39530054],4504,2,3,91,False
4506,[-1.23225252  1.3016106  -2.39031141  4.97358775],[ 0.3321139  -0.9432393   0.26594657  0.96398777 -2.3903115   4.9735875 ],[0.18782336 0.28919426 0.5229824 ],4461,2,2,97,False
4507,[-1.55707173  2.09814014 -0.87161989  3.08929538],[ 0.01372417 -0.9999058  -0.5032398   0.8641468  -0.8716199   3.0892954 ],[0.2573958  0.3351163  0.40748796],4506,1,2,98,False
4508,[-1.58072433  2.53672978  0.61417191  1.31016025],[-0.00992784 -0.9999507  -0.8225801   0.5686493   0.6141719   1.3101603 ],[0.31166068 0.36950806 0.31883126],4507,0,2,99,False
4509,[-1.3310694   2.65774003  1.86295501 -0.12086705],[ 0.23743737 -0.9714028  -0.88520926  0.465193    1.862955   -0.12086705],[0.36094213 0.35375568 0.28530225],4508,2,2,100,False
4510,[-0.83810963  2.44022872  2.99814545 -2.0768895 ],[ 0.66886926 -0.74338    -0.7639628   0.6452603   2.9981453  -2.0768895 ],[0.43685934 0.31421056 0.24893014],4509,0,3,101,False
4511,[-1.17893189  1.16080344 -2.12903864  4.25721156],[ 0.3819122 -0.9241986  0.3986028  0.9171237 -2.1290386  4.2572117],[0.19296432 0.30410516 0.5029305 ],4416,0,2,97,False
4512,[-1.46913363  1.85304736 -0.767283    2.71685844],[ 0.10148767 -0.9948368  -0.27851832  0.9604309  -0.767283    2.7168584 ],[0.25092244 0.34004956 0.40902805],4511,2,2,98,False
4513,[-1.47250861  2.21572279  0.71730372  0.91776334],[ 0.09812954 -0.99517363 -0.60113966  0.79914397  0.7173037   0.91776335],[0.3101051 0.3683137 0.3215812],4512,0,2,99,False
4514,[-1.19079198  2.2117006   2.06708664 -0.99640542],[ 0.3709245  -0.928663   -0.59792054  0.8015554   2.0670867  -0.9964054 ],[0.3872464  0.34261307 0.27014053],4513,0,2,100,False
4515,[-0.6664089   1.79750334  3.10853297 -3.19990526],[ 0.7860466  -0.6181672  -0.22477002  0.97441185  3.108533   -3.1999052 ],[0.4542003  0.3077778  0.23802195],4514,0,3,101,False
4516,[-1.39572998  2.10998416 -1.42178443  2.22161444],[ 0.17417347 -0.984715   -0.51343924  0.858126   -1.4217844   2.2216144 ],[0.26865825 0.3230861  0.40825558],1366,1,2,97,False
4517,[-1.5592943   2.41769047 -0.20968242  0.88053078],[ 0.01150177 -0.99993384 -0.749227    0.66231334 -0.20968242  0.8805308 ],[0.31052878 0.35783255 0.3316386 ],4516,2,2,98,False
4518,[-1.47349583  2.44337181  1.06203575 -0.63654233],[ 0.09714703 -0.99527    -0.76598716  0.6428559   1.0620358  -0.6365423 ],[0.35306734 0.36201274 0.28491986],4517,1,2,99,False
4519,[-1.13963927  2.15123782  2.25058489 -2.33242161],[ 0.41792226 -0.9084828  -0.5483932   0.8362206   2.2505848  -2.3324215 ],[0.41342792 0.33795175 0.2486203 ],4518,1,2,100,False
4520,[-0.5817317   1.46065361  3.29065101 -4.66035818],[ 0.8355124  -0.5494716   0.10992015  0.9939404   3.290651   -4.660358  ],[0.4854404  0.30052125 0.21403842],4519,0,3,101,False
4521,[ 0.55216381 -1.0092642   2.88154363 -4.93447868],[ 0.85139155  0.5245307   0.5324837  -0.84644026  2.8815436  -4.9344788 ],[0.51434433 0.28058743 0.20506829],4481,0,2,87,False
4522,[ 1.0239174  -1.79038141  1.81002059 -2.91962982],[ 0.5200239  0.8541517 -0.2178247 -0.9759879  1.8100206 -2.9196298],[0.4619178  0.29216594 0.24591625],4521,1,2,88,False
4523,[ 1.26914619 -2.20156216  0.62970259 -1.23451931],[ 0.29709625  0.9548475  -0.5897634  -0.80757606  0.62970257 -1.2345194 ],[0.4213592  0.30345953 0.2751812 ],4522,1,2,89,False
4524,[ 1.27354692 -2.29236405 -0.58303832  0.3243039 ],[ 0.29289135  0.9561457  -0.66056246 -0.75077105 -0.58303833  0.3243039 ],[0.39199322 0.3082     0.29980674],4523,1,2,90,False
4525,[ 1.03384845 -2.04502127 -1.79188508  2.18211842],[ 0.5115158   0.8592739  -0.45664907 -0.8896469  -1.7918851   2.1821184 ],[0.30614856 0.32531586 0.36853558],4524,2,3,91,False
4526,[ 1.03106886 -1.7046303   2.46653264 -3.45849642],[ 0.51390225  0.85784876 -0.1334348  -0.9910576   2.4665327  -3.4584963 ],[0.47948378 0.28384426 0.23667204],4396,0,2,89,False
4527,[ 1.40642868 -2.20855068  1.26927645 -1.65260915],[ 0.16362853  0.986522   -0.5953927  -0.80343485  1.2692765  -1.6526091 ],[0.4312776  0.29736266 0.27135977],4526,1,2,90,False
4528,[ 1.52759822 -2.36307259 -0.06117811  0.08567341],[ 0.04318467  0.9990671  -0.7119536  -0.7022265  -0.06117811  0.08567341],[0.40209997 0.30944425 0.28845575],4527,2,2,91,False
4529,[ 1.39553527 -2.21559712 -1.25334564  1.40866813],[ 0.1743652   0.98468107 -0.60103923 -0.7992195  -1.2533456   1.4086682 ],[0.35272923 0.31815657 0.3291142 ],4528,0,2,92,False
4530,[ 1.01742288 -1.73891353 -2.50984408  3.435604  ],[ 0.5255602   0.8507564  -0.16732639 -0.98590153 -2.509844    3.435604  ],[0.25500602 0.31601432 0.4289797 ],4529,2,3,93,False
4531,[ 1.72819908 -1.00406168  2.05257435 -3.50443814],[-0.1567536   0.98763776  0.5368801  -0.84365857  2.0525744  -3.5044382 ],[0.46150416 0.28446457 0.25403133],4262,0,2,119,False
4532,[ 1.9950962  -1.55254477  0.63664631 -2.06408126],[-0.41168284  0.9113272   0.01825054 -0.99983346  0.63664633 -2.0640812 ],[0.39579025 0.30919713 0.29501265],4531,2,2,120,False
4533,[ 1.98561032 -1.84327475 -0.73517902 -0.82702274],[-0.4030197   0.9151913  -0.26911923 -0.9631069  -0.735179   -0.82702273],[0.36849135 0.30842385 0.3230849 ],4532,2,2,121,False
4534,[ 1.71156476 -1.90507313 -2.0196064   0.3052151 ],[-0.14030398  0.9901085  -0.3280861  -0.94464785 -2.0196064   0.3052151 ],[0.34997055 0.30884084 0.34118864],4533,0,2,122,False
4535,[ 1.17085198 -1.65128594 -3.35946616  2.36235692],[ 0.38936707  0.9210827  -0.08040273 -0.99676245 -3.359466    2.362357  ],[0.2690547  0.31776613 0.41317916],4534,1,3,123,False
4536,[ 1.01168556 -1.65318672  2.28743286 -2.98089452],[ 0.5304326   0.8477271  -0.08229721 -0.99660784  2.287433   -2.9808946 ],[0.470338   0.28552073 0.24414127],4396,2,2,89,False
4537,[ 1.35287784 -2.06706323  1.10404051 -1.21793586],[ 0.2161978   0.9763496  -0.4761461  -0.87936616  1.1040405  -1.2179359 ],[0.42191923 0.29841387 0.27966684],4536,1,2,90,False
4538,[ 1.4554414  -2.17768026 -0.08397729  0.09557943],[ 0.11509926  0.993354   -0.5703106  -0.82142913 -0.08397729  0.09557942],[0.3989876  0.3077004  0.29331198],4537,0,2,91,False
4539,[ 1.30531609 -1.98409052 -1.41165115  1.87050138],[ 0.2623727   0.9649666  -0.40162835 -0.9158028  -1.4116511   1.8705014 ],[0.32702807 0.31944638 0.35352546],4538,2,2,92,False
4540,[ 0.8950238  -1.40530892 -2.67890448  4.00443729],[ 0.62550026  0.78022397  0.1647331  -0.9863382  -2.6789045   4.0044374 ],[0.2282735  0.30506253 0.466664  ],4539,2,3,93,False
4541,[ 0.98993873 -1.59934222  2.29325845 -3.01477838],[ 0.5487411   0.83599234 -0.02854202 -0.9995926   2.2932584  -3.0147784 ],[0.4708433  0.28538376 0.24377295],4371,1,2,89,False
4542,[ 1.32453118 -1.99654823  1.03442706 -1.02285463],[ 0.2437835   0.9698297  -0.41300568 -0.91072845  1.034427   -1.0228547 ],[0.42110315 0.29562995 0.28326693],4541,2,2,90,False
4543,[ 1.41369342 -2.06869289 -0.14838818  0.28670675],[ 0.15645745  0.9876847  -0.47757855 -0.87858903 -0.14838818  0.28670675],[0.39379162 0.30494174 0.30126667],4542,0,2,91,False
4544,[ 1.26569675 -1.88012532 -1.32309718  1.62286501],[ 0.30038816  0.95381707 -0.30441955 -0.9525381  -1.3230972   1.622865  ],[0.33519813 0.31443337 0.35036856],4543,0,2,92,False
